epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5139,0.83051,1.4394,0.97206,0.43371,0.5201,0.403,0.23616,1.26975,2.2921,1.15369,0.000408163,0.000408163,0.000408163
1,22.4715,0.86542,1.8511,0.95786,0.39887,0.32676,0.31599,0.18298,1.32682,1.99521,1.01344,0.0003,0.0003,0.0003
2,58.7935,0.80917,0.87034,0.92748,0.41603,0.23881,0.29315,0.13006,1.55945,2.54332,1.25202,0.000610479,0.000610479,0.000610479
3,88.3863,0.84069,0.81691,0.95318,0.45639,0.38012,0.33251,0.19,1.35389,1.38553,1.09188,0.000918895,0.000918895,0.000918895
4,138.986,0.82818,0.77802,0.94398,0.55844,0.32676,0.41711,0.24937,1.34769,1.38327,1.08819,0.00122525,0.00122525,0.00122525
5,178.409,0.83574,0.77931,0.93751,0.65278,0.38232,0.41613,0.22019,1.3638,1.29936,1.13784,0.0012335,0.0012335,0.0012335
6,200.101,0.83944,0.75539,0.9461,0.51607,0.46539,0.44927,0.25202,1.28856,1.07472,1.07042,0.00122937,0.00122937,0.00122937
7,229.467,0.81479,0.73235,0.93794,0.65951,0.45029,0.50293,0.30645,1.2572,0.91249,1.07091,0.00122525,0.00122525,0.00122525
8,264.856,0.78313,0.70644,0.93406,0.44985,0.50053,0.43391,0.25824,1.22841,1.03419,1.04152,0.00122112,0.00122112,0.00122112
9,298.203,0.78339,0.71759,0.92109,0.45079,0.51936,0.48915,0.29846,1.23712,0.86946,1.04731,0.001217,0.001217,0.001217
10,347.287,0.7718,0.66025,0.92237,0.47442,0.49952,0.47358,0.28439,1.24921,0.80707,1.04765,0.00121287,0.00121287,0.00121287
11,382.076,0.79118,0.67856,0.93282,0.7334,0.52721,0.49174,0.30407,1.20888,0.80073,1.01289,0.00120875,0.00120875,0.00120875
12,422.639,0.74266,0.65681,0.91197,0.61802,0.40725,0.46601,0.28536,1.25402,0.77769,1.04527,0.00120462,0.00120462,0.00120462
13,457.32,0.74197,0.6251,0.91308,0.61093,0.64868,0.57976,0.33276,1.22151,0.75558,1.03014,0.0012005,0.0012005,0.0012005
14,508.823,0.74585,0.6196,0.9161,0.55291,0.61509,0.5851,0.30358,1.2192,0.72297,1.0154,0.00119637,0.00119637,0.00119637
15,543.702,0.7323,0.62304,0.91249,0.70798,0.54693,0.61454,0.34781,1.22983,0.73116,1.02727,0.00119225,0.00119225,0.00119225
16,581.014,0.72339,0.6084,0.90663,0.67536,0.63646,0.60765,0.35724,1.19913,0.65866,1.02057,0.00118812,0.00118812,0.00118812
17,614.404,0.74474,0.61342,0.91186,0.73108,0.64819,0.65285,0.36356,1.21889,0.66461,1.02182,0.001184,0.001184,0.001184
18,658.94,0.72652,0.59657,0.90479,0.65195,0.60998,0.61571,0.33774,1.19229,0.65787,1.01692,0.00117988,0.00117988,0.00117988
19,691.873,0.71223,0.58244,0.90322,0.76204,0.55836,0.61786,0.34362,1.19164,0.6801,1.01858,0.00117575,0.00117575,0.00117575
20,714.544,0.72545,0.57466,0.90833,0.58339,0.54178,0.559,0.34257,1.1947,0.7256,1.02747,0.00117163,0.00117163,0.00117163
21,745.595,0.7172,0.57909,0.90922,0.73084,0.5754,0.61738,0.34564,1.20733,0.74155,1.01248,0.0011675,0.0011675,0.0011675
22,783.826,0.68992,0.56532,0.89489,0.54345,0.64552,0.62691,0.35816,1.16998,0.6846,1.00344,0.00116337,0.00116337,0.00116337
23,820.509,0.69684,0.54462,0.89324,0.71372,0.5774,0.6278,0.37162,1.17941,0.63051,1.00947,0.00115925,0.00115925,0.00115925
24,862.339,0.68226,0.55142,0.88854,0.71354,0.57224,0.64284,0.35634,1.19349,0.68506,1.01478,0.00115513,0.00115513,0.00115513
25,897.933,0.68442,0.54693,0.89621,0.76424,0.62313,0.67267,0.40183,1.17439,0.64951,1.00184,0.001151,0.001151,0.001151
26,943.66,0.68441,0.53582,0.89055,0.91302,0.58919,0.72467,0.43975,1.15759,0.62242,1.01222,0.00114688,0.00114688,0.00114688
27,989.226,0.67835,0.53,0.8845,0.60503,0.6839,0.65916,0.36765,1.18949,0.64559,1.02721,0.00114275,0.00114275,0.00114275
28,1033.72,0.67037,0.52413,0.88639,0.8034,0.69046,0.73616,0.47395,1.18568,0.63478,1.00581,0.00113863,0.00113863,0.00113863
29,1067.63,0.67728,0.51865,0.88969,0.65044,0.68298,0.6484,0.38618,1.1641,0.62721,1.00202,0.0011345,0.0011345,0.0011345
30,1115.69,0.68227,0.52131,0.88792,0.76686,0.58706,0.6543,0.41378,1.18948,0.64665,1.00784,0.00113038,0.00113038,0.00113038
31,1147.1,0.67903,0.52999,0.89533,0.67816,0.76116,0.7239,0.424,1.14937,0.65288,0.99435,0.00112625,0.00112625,0.00112625
32,1197.39,0.68794,0.51637,0.88889,0.86319,0.65354,0.76455,0.46429,1.16305,0.60151,1.00244,0.00112213,0.00112213,0.00112213
33,1223.79,0.63405,0.49187,0.87736,0.698,0.70789,0.73115,0.42097,1.18694,0.60577,1.01653,0.001118,0.001118,0.001118
34,1264.68,0.66632,0.50882,0.88902,0.72943,0.70727,0.69215,0.4096,1.19121,0.67495,1.01975,0.00111388,0.00111388,0.00111388
35,1295.08,0.66816,0.51496,0.88122,0.71099,0.67198,0.63762,0.37979,1.16422,0.61631,1.00472,0.00110975,0.00110975,0.00110975
36,1330.41,0.64718,0.50584,0.8849,0.90471,0.59832,0.70365,0.42436,1.16917,0.60145,1.00124,0.00110563,0.00110563,0.00110563
37,1364.93,0.64558,0.50435,0.88223,0.75838,0.68043,0.7257,0.44085,1.14379,0.57421,0.9867,0.0011015,0.0011015,0.0011015
38,1396.51,0.6585,0.48962,0.88264,0.84626,0.73248,0.77434,0.45619,1.16106,0.57669,0.99674,0.00109738,0.00109738,0.00109738
39,1422.81,0.64178,0.49061,0.87338,0.67204,0.75538,0.78831,0.46838,1.14671,0.57231,0.99159,0.00109325,0.00109325,0.00109325
40,1454.16,0.64455,0.49509,0.88309,0.81322,0.65233,0.71679,0.45032,1.14325,0.60045,0.99291,0.00108913,0.00108913,0.00108913
41,1488.41,0.63955,0.48914,0.8774,0.86734,0.6019,0.75578,0.45817,1.16063,0.59487,1.00703,0.001085,0.001085,0.001085
42,1523.59,0.64374,0.48021,0.87725,0.6721,0.6887,0.69873,0.41841,1.17845,0.60785,1.00506,0.00108088,0.00108088,0.00108088
43,1556.52,0.65007,0.47254,0.87345,0.6251,0.7115,0.69852,0.41494,1.17302,0.59733,1.01371,0.00107675,0.00107675,0.00107675
44,1589.93,0.62489,0.47148,0.87076,0.85372,0.63436,0.74788,0.45077,1.15554,0.60018,1.00147,0.00107263,0.00107263,0.00107263
45,1622.16,0.6227,0.47579,0.86986,0.89013,0.6377,0.77259,0.48324,1.17472,0.57972,1.02338,0.0010685,0.0010685,0.0010685
46,1656.85,0.62177,0.47456,0.87143,0.837,0.72761,0.7828,0.47789,1.18418,0.58926,1.01106,0.00106437,0.00106437,0.00106437
47,1691.72,0.61806,0.46347,0.86942,0.66279,0.63075,0.68507,0.41691,1.15747,0.61404,1.01189,0.00106025,0.00106025,0.00106025
48,1709.7,0.61613,0.46632,0.87027,0.59616,0.74554,0.77209,0.45361,1.14977,0.58175,1.00402,0.00105612,0.00105612,0.00105612
49,1742.04,0.60919,0.46241,0.86585,0.71796,0.64848,0.71402,0.44778,1.15661,0.57824,1.00441,0.001052,0.001052,0.001052
50,1773.03,0.60305,0.45167,0.86607,0.80927,0.53625,0.59988,0.37908,1.17051,0.61742,1.00385,0.00104787,0.00104787,0.00104787
51,1801.3,0.63037,0.47318,0.87032,0.73379,0.68291,0.69508,0.4198,1.13869,0.58941,0.99727,0.00104375,0.00104375,0.00104375
52,1849.71,0.64364,0.46291,0.87402,0.73294,0.60022,0.68399,0.42389,1.15046,0.59815,0.99631,0.00103962,0.00103962,0.00103962
53,1881.79,0.62183,0.45904,0.86539,0.7046,0.72029,0.7588,0.47407,1.15081,0.54815,0.9934,0.0010355,0.0010355,0.0010355
54,1929.37,0.58811,0.44112,0.86234,0.77589,0.6415,0.7155,0.43059,1.17447,0.60031,1.00914,0.00103138,0.00103138,0.00103138
55,1962.99,0.58928,0.44567,0.86371,0.79783,0.64268,0.72587,0.45557,1.14135,0.57836,0.98807,0.00102725,0.00102725,0.00102725
56,2003.19,0.62155,0.46327,0.87049,0.79707,0.69105,0.77573,0.46661,1.13353,0.58351,0.99132,0.00102312,0.00102312,0.00102312
57,2031.89,0.60525,0.44778,0.8655,0.88254,0.63279,0.70352,0.43771,1.14433,0.56837,0.99168,0.001019,0.001019,0.001019
58,2074.54,0.60539,0.44829,0.86371,0.74492,0.65032,0.69487,0.412,1.1654,0.57406,1.0036,0.00101488,0.00101488,0.00101488
59,2110.58,0.61078,0.45847,0.86593,0.79609,0.62101,0.7631,0.4677,1.16213,0.57677,0.99816,0.00101075,0.00101075,0.00101075
60,2147.31,0.59724,0.43536,0.86257,0.89495,0.70837,0.78032,0.45379,1.18293,0.58618,1.00462,0.00100663,0.00100663,0.00100663
61,2177.29,0.58492,0.43447,0.86604,0.84875,0.56824,0.69805,0.43466,1.14511,0.58257,0.9953,0.0010025,0.0010025,0.0010025
62,2194.99,0.59322,0.43508,0.86278,0.80288,0.59053,0.71146,0.43349,1.15941,0.59186,1.01219,0.000998375,0.000998375,0.000998375
63,2228.9,0.592,0.44024,0.8613,0.76148,0.65923,0.7444,0.44326,1.14112,0.57639,0.99391,0.00099425,0.00099425,0.00099425
64,2263.43,0.58708,0.4311,0.86154,0.86131,0.60116,0.73774,0.43597,1.14628,0.60222,1.01641,0.000990125,0.000990125,0.000990125
65,2293.58,0.58809,0.43803,0.85988,0.71606,0.75328,0.72088,0.44594,1.18965,0.58024,1.00591,0.000986,0.000986,0.000986
66,2332.97,0.58295,0.43572,0.85836,0.8315,0.69136,0.79762,0.51207,1.14209,0.55746,0.99795,0.000981875,0.000981875,0.000981875
67,2360.2,0.58139,0.4181,0.85825,0.74134,0.68457,0.72526,0.46198,1.12889,0.57124,0.99475,0.00097775,0.00097775,0.00097775
68,2394.78,0.56147,0.41222,0.85235,0.80324,0.69224,0.77437,0.46501,1.14248,0.58353,0.99702,0.000973625,0.000973625,0.000973625
69,2425.57,0.57426,0.41321,0.85701,0.86565,0.61871,0.72926,0.44747,1.14164,0.56946,0.9992,0.0009695,0.0009695,0.0009695
70,2472.31,0.5488,0.41677,0.85294,0.87338,0.66884,0.7164,0.4552,1.12686,0.61711,0.98932,0.000965375,0.000965375,0.000965375
71,2506.93,0.56212,0.42833,0.86134,0.81461,0.70104,0.7854,0.46262,1.15982,0.60027,1.01124,0.00096125,0.00096125,0.00096125
72,2526.51,0.57534,0.42189,0.8549,0.8782,0.65855,0.78195,0.45035,1.17467,0.58409,1.01645,0.000957125,0.000957125,0.000957125
73,2558.21,0.57816,0.41206,0.85465,0.85287,0.55487,0.7185,0.46892,1.1448,0.59276,1.01267,0.000953,0.000953,0.000953
74,2590.64,0.5723,0.41595,0.85502,0.73311,0.77216,0.73531,0.44636,1.1399,0.57858,1.00497,0.000948875,0.000948875,0.000948875
75,2631.78,0.59305,0.42987,0.86628,0.84106,0.71945,0.75375,0.44383,1.14189,0.55656,0.9973,0.00094475,0.00094475,0.00094475
76,2670.93,0.5678,0.41066,0.85462,0.698,0.73052,0.72338,0.4553,1.12302,0.58573,0.99158,0.000940625,0.000940625,0.000940625
77,2710.16,0.55457,0.4118,0.84573,0.70124,0.68561,0.73669,0.44626,1.15501,0.60016,1.00671,0.0009365,0.0009365,0.0009365
78,2759.49,0.55649,0.41352,0.85306,0.77808,0.71366,0.74633,0.46249,1.17066,0.59053,1.01344,0.000932375,0.000932375,0.000932375
79,2796.72,0.55881,0.4076,0.85262,0.73127,0.73059,0.76634,0.4513,1.1503,0.58422,1.01447,0.00092825,0.00092825,0.00092825
80,2842.34,0.55075,0.40616,0.85172,0.69291,0.79308,0.77031,0.46891,1.15007,0.57383,1.00106,0.000924125,0.000924125,0.000924125
81,2872.01,0.54545,0.39542,0.8512,0.77221,0.71202,0.73457,0.43115,1.15058,0.56017,1.00828,0.00092,0.00092,0.00092
82,2920.81,0.5599,0.40723,0.85544,0.83598,0.59317,0.69042,0.42036,1.18459,0.59575,1.01965,0.000915875,0.000915875,0.000915875
83,2952.08,0.57125,0.41099,0.85189,0.75474,0.69431,0.71871,0.44409,1.1599,0.60717,1.01265,0.00091175,0.00091175,0.00091175
84,2993.75,0.56001,0.41092,0.85235,0.79674,0.6553,0.72129,0.4411,1.14863,0.58238,1.01105,0.000907625,0.000907625,0.000907625
85,3025.46,0.54582,0.39087,0.84624,0.84697,0.5987,0.68787,0.42616,1.1512,0.58238,1.00271,0.0009035,0.0009035,0.0009035
86,3066.43,0.54118,0.38739,0.84813,0.76893,0.69248,0.74151,0.47806,1.15404,0.55514,1.00811,0.000899375,0.000899375,0.000899375
87,3103.84,0.53519,0.38687,0.84545,0.72256,0.6584,0.72519,0.48184,1.15699,0.56413,1.00556,0.00089525,0.00089525,0.00089525
88,3140.62,0.53703,0.38199,0.84628,0.73953,0.74447,0.72896,0.45694,1.1349,0.55431,0.99726,0.000891125,0.000891125,0.000891125
89,3172.9,0.53146,0.38771,0.84716,0.63993,0.77878,0.76423,0.46161,1.1367,0.57425,1.00074,0.000887,0.000887,0.000887
90,3189.55,0.54628,0.39275,0.84705,0.66271,0.75773,0.79289,0.49689,1.14184,0.57498,0.99962,0.000882875,0.000882875,0.000882875
91,3224.52,0.5459,0.3857,0.8477,0.82296,0.69798,0.77579,0.4547,1.1655,0.55614,1.02911,0.00087875,0.00087875,0.00087875
92,3261.35,0.54125,0.38617,0.85084,0.87284,0.6712,0.76265,0.45721,1.17411,0.57324,1.02412,0.000874625,0.000874625,0.000874625
93,3293.42,0.53374,0.38004,0.84096,0.84389,0.65778,0.76051,0.45747,1.16255,0.59365,1.00345,0.0008705,0.0008705,0.0008705
94,3340.75,0.51911,0.37842,0.84294,0.85296,0.61619,0.73399,0.46045,1.14698,0.56659,1.01464,0.000866375,0.000866375,0.000866375
95,3372.71,0.52442,0.38167,0.84248,0.82835,0.74879,0.79592,0.46406,1.16547,0.58237,1.00955,0.00086225,0.00086225,0.00086225
96,3410.54,0.53062,0.37858,0.83965,0.78457,0.73681,0.80841,0.46879,1.16403,0.58606,1.01912,0.000858125,0.000858125,0.000858125
97,3441.24,0.53041,0.37838,0.84675,0.72514,0.74735,0.7744,0.48471,1.15395,0.59616,1.00726,0.000854,0.000854,0.000854
98,3481.4,0.53208,0.37968,0.84179,0.78634,0.75463,0.77213,0.49422,1.15059,0.57629,1.00073,0.000849875,0.000849875,0.000849875
99,3512.44,0.51477,0.37318,0.8413,0.80138,0.6136,0.74529,0.46288,1.14727,0.5843,1.01624,0.00084575,0.00084575,0.00084575
100,3528.6,0.51402,0.37563,0.84028,0.7014,0.74467,0.75038,0.46361,1.16188,0.59676,1.02288,0.000841625,0.000841625,0.000841625
101,3555.87,0.52688,0.37182,0.84208,0.7991,0.62494,0.71066,0.44459,1.14862,0.58829,1.00682,0.0008375,0.0008375,0.0008375
102,3590.24,0.54257,0.3813,0.84101,0.72575,0.684,0.74024,0.47931,1.15704,0.58612,1.01156,0.000833375,0.000833375,0.000833375
103,3621.29,0.51275,0.37205,0.84308,0.81732,0.63081,0.72036,0.45732,1.14766,0.58129,1.01878,0.00082925,0.00082925,0.00082925
104,3659.38,0.52247,0.36989,0.83994,0.73259,0.6807,0.70783,0.42551,1.15318,0.5762,1.01111,0.000825125,0.000825125,0.000825125
105,3690.92,0.51388,0.36772,0.83814,0.78834,0.69467,0.7381,0.45575,1.15473,0.5811,1.00269,0.000821,0.000821,0.000821
106,3732.47,0.51522,0.36248,0.83823,0.88198,0.63755,0.71699,0.44486,1.15951,0.59339,1.01172,0.000816875,0.000816875,0.000816875
107,3757.77,0.524,0.3637,0.83734,0.73155,0.69456,0.74235,0.47082,1.14154,0.57618,1.01047,0.00081275,0.00081275,0.00081275
108,3792.76,0.51254,0.36072,0.83852,0.82024,0.69866,0.76754,0.47777,1.14523,0.56779,1.01112,0.000808625,0.000808625,0.000808625
109,3827.79,0.49682,0.35381,0.83597,0.7266,0.6964,0.72167,0.43723,1.13656,0.59799,1.00236,0.0008045,0.0008045,0.0008045
110,3845.95,0.49912,0.36655,0.8388,0.73099,0.66366,0.73513,0.44585,1.15852,0.60791,1.0089,0.000800375,0.000800375,0.000800375
111,3872.14,0.50518,0.36204,0.8333,0.82146,0.73993,0.79766,0.52468,1.13636,0.55598,1.00158,0.00079625,0.00079625,0.00079625
112,3910.82,0.49664,0.35748,0.8365,0.79784,0.67622,0.74812,0.46023,1.15385,0.5784,1.00384,0.000792125,0.000792125,0.000792125
113,3944.15,0.50452,0.36922,0.83255,0.88822,0.61675,0.77414,0.47542,1.13604,0.56384,1.00788,0.000788,0.000788,0.000788
114,3984.55,0.49178,0.35362,0.83369,0.91231,0.62257,0.75415,0.46939,1.11912,0.56058,0.99849,0.000783875,0.000783875,0.000783875
115,4015.22,0.51564,0.36466,0.83437,0.86152,0.68011,0.7727,0.48142,1.1468,0.55835,1.00629,0.00077975,0.00077975,0.00077975
116,4054.4,0.50949,0.36831,0.84025,0.8359,0.77189,0.84241,0.52551,1.14507,0.54646,1.01391,0.000775625,0.000775625,0.000775625
117,4084.97,0.50499,0.36375,0.83958,0.83976,0.77234,0.79891,0.48874,1.15141,0.58327,1.02091,0.0007715,0.0007715,0.0007715
118,4120.1,0.47641,0.35527,0.83207,0.80533,0.69751,0.81962,0.50178,1.14712,0.5692,1.01606,0.000767375,0.000767375,0.000767375
119,4150.53,0.48278,0.35792,0.83204,0.76529,0.71744,0.8091,0.47773,1.15521,0.57413,1.01396,0.00076325,0.00076325,0.00076325
120,4182,0.49337,0.35304,0.83386,0.73855,0.71841,0.79338,0.47916,1.15472,0.58303,1.01736,0.000759125,0.000759125,0.000759125
121,4211.25,0.49424,0.34507,0.83457,0.88501,0.66837,0.77095,0.48539,1.15888,0.56155,1.01787,0.000755,0.000755,0.000755
122,4245.9,0.49423,0.34781,0.83431,0.85393,0.63215,0.75997,0.46012,1.15689,0.56023,1.01341,0.000750875,0.000750875,0.000750875
123,4274.26,0.49893,0.3474,0.83417,0.72116,0.71812,0.74998,0.48789,1.17092,0.59042,1.01977,0.00074675,0.00074675,0.00074675
124,4304.25,0.48214,0.34636,0.83481,0.91232,0.63779,0.7701,0.49757,1.17243,0.58439,1.01922,0.000742625,0.000742625,0.000742625
125,4332.99,0.49701,0.35918,0.83691,0.8861,0.63089,0.83808,0.51273,1.16057,0.58759,1.01552,0.0007385,0.0007385,0.0007385
126,4368.31,0.48364,0.35136,0.83133,0.84943,0.68569,0.80541,0.52875,1.16104,0.56973,1.01644,0.000734375,0.000734375,0.000734375
127,4398.82,0.47427,0.33911,0.82922,0.82524,0.76447,0.84166,0.54084,1.15031,0.58237,1.01777,0.00073025,0.00073025,0.00073025
128,4436.82,0.49074,0.34272,0.83312,0.77279,0.82461,0.82466,0.48475,1.16012,0.58761,1.01208,0.000726125,0.000726125,0.000726125
129,4471.21,0.48122,0.3423,0.82979,0.80982,0.80159,0.83566,0.50246,1.18251,0.56961,1.02284,0.000722,0.000722,0.000722
