epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2848,0.87216,1.60637,0.95416,0.45864,0.38226,0.2951,0.16461,1.12457,4.30131,1.06029,0.000404762,0.000404762,0.000404762
2,21.7624,0.83284,0.86465,0.936,0.46238,0.58262,0.35341,0.204,1.1534,2.08424,1.08424,0.000818718,0.000818718,0.000818718
3,32.1612,0.9068,0.86926,0.96696,0.53763,0.31237,0.33044,0.1955,1.16803,1.29734,1.11967,0.00122992,0.00122992,0.00122992
4,42.2894,0.91114,0.81979,0.97114,0.51751,0.3234,0.36508,0.19621,1.24647,0.96321,1.16058,0.00123763,0.00123763,0.00123763
5,52.4712,0.87318,0.76925,0.9593,0.49989,0.52825,0.47007,0.28303,1.11334,0.77041,1.08582,0.0012335,0.0012335,0.0012335
6,63.0109,0.84795,0.74868,0.94662,0.43546,0.51912,0.50997,0.27135,1.08182,0.73421,1.05868,0.00122937,0.00122937,0.00122937
7,73.5071,0.80852,0.71413,0.94473,0.77947,0.45925,0.49214,0.28644,1.09121,0.70221,1.04861,0.00122525,0.00122525,0.00122525
8,84.1463,0.8165,0.70297,0.94232,0.67378,0.61425,0.61185,0.3484,1.10884,0.59476,1.08417,0.00122112,0.00122112,0.00122112
9,94.4921,0.80258,0.67547,0.93008,0.4363,0.5834,0.54956,0.34135,1.08596,0.60951,1.0628,0.001217,0.001217,0.001217
10,104.629,0.78447,0.67863,0.93634,0.82866,0.49324,0.5407,0.34013,1.02154,0.56196,1.04723,0.00121287,0.00121287,0.00121287
11,115.37,0.78052,0.65176,0.93053,0.63437,0.66844,0.67712,0.42844,1.07739,0.5973,1.06882,0.00120875,0.00120875,0.00120875
12,126.63,0.78428,0.64434,0.9233,0.73513,0.57701,0.65525,0.40259,1.05779,0.60837,1.05684,0.00120462,0.00120462,0.00120462
13,137.485,0.7469,0.61444,0.91706,0.529,0.66678,0.68023,0.39502,1.04441,0.57361,1.06566,0.0012005,0.0012005,0.0012005
14,147.808,0.76415,0.65783,0.92061,0.72335,0.61878,0.68348,0.4402,1.1422,0.55766,1.10044,0.00119637,0.00119637,0.00119637
15,158.107,0.76321,0.62572,0.9149,0.61811,0.46225,0.58141,0.34761,1.04108,0.54189,1.0318,0.00119225,0.00119225,0.00119225
16,168.919,0.74765,0.6286,0.91413,0.65943,0.59248,0.58737,0.36163,1.03764,0.52052,1.02886,0.00118812,0.00118812,0.00118812
17,179.507,0.72983,0.58945,0.90529,0.79702,0.63335,0.71304,0.43412,1.10341,0.55297,1.10953,0.001184,0.001184,0.001184
18,190.051,0.73262,0.59771,0.90521,0.62265,0.65313,0.6543,0.38764,1.05744,0.59217,1.09857,0.00117988,0.00117988,0.00117988
19,200.821,0.74994,0.60568,0.91262,0.73175,0.60246,0.61414,0.40417,0.98285,0.51299,1.00417,0.00117575,0.00117575,0.00117575
20,211.4,0.73791,0.57517,0.91083,0.755,0.60714,0.63783,0.3887,1.05945,0.54739,1.05918,0.00117163,0.00117163,0.00117163
21,221.872,0.72708,0.58139,0.90981,0.75468,0.51864,0.63778,0.39314,1.04571,0.52933,1.03487,0.0011675,0.0011675,0.0011675
