epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7061,0.85496,1.9871,0.97845,0.26439,0.35233,0.33759,0.19654,1.17228,7.36157,1.12295,0.000404412,0.000404412,0.000404412
2,156.923,0.85916,0.87876,0.98043,0.20005,0.09803,0.08419,0.04282,2.0051,inf,2.00611,0.000815659,0.000815659,0.000815659
3,252.997,0.8917,0.84932,0.99252,0.44992,0.25005,0.31986,0.15327,1.1588,3.68875,1.26337,0.00122141,0.00122141,0.00122141
4,327.446,0.86989,0.83506,0.9823,0.77052,0.29744,0.29444,0.14495,1.33356,3.21722,1.36415,0.00122525,0.00122525,0.00122525
5,419.683,0.85191,0.74945,0.98027,0.85882,0.32471,0.42766,0.22699,1.2054,1.33903,1.21649,0.001217,0.001217,0.001217
6,509.566,0.86357,0.74213,0.97252,0.36551,0.56776,0.48405,0.2673,1.12156,1.05573,1.19229,0.00120875,0.00120875,0.00120875
7,606.949,0.81457,0.71566,0.96094,0.77063,0.46802,0.51228,0.31194,1.06178,0.75678,1.12837,0.0012005,0.0012005,0.0012005
8,692.683,0.79868,0.69219,0.95816,0.82531,0.45932,0.48924,0.28828,1.0647,0.79278,1.09643,0.00119225,0.00119225,0.00119225
9,792.637,0.80402,0.69143,0.95342,0.42207,0.53537,0.4849,0.27302,1.07721,0.75731,1.11833,0.001184,0.001184,0.001184
10,881.695,0.79764,0.66145,0.94664,0.57515,0.57372,0.61002,0.31855,1.05857,0.78575,1.08303,0.00117575,0.00117575,0.00117575
11,987.809,0.79057,0.64188,0.94408,0.62349,0.53762,0.55353,0.32671,1.08122,0.67993,1.09148,0.0011675,0.0011675,0.0011675
12,1086.86,0.74554,0.6257,0.93047,0.56482,0.54839,0.57656,0.33413,1.10979,0.76724,1.09373,0.00115925,0.00115925,0.00115925
13,1198.7,0.76569,0.62685,0.94301,0.80713,0.43759,0.48434,0.28884,1.13062,0.74948,1.10744,0.001151,0.001151,0.001151
